metric,value
Free Cash Flow,21875100000.0
Repayment Of Debt,0.0
Issuance Of Debt,0.0
Capital Expenditure,-5499200000.0
End Cash Position,9964000000.0
Beginning Cash Position,7734400000.0
Changes In Cash,2229600000.0
Financing Cash Flow,-21227400000.0
Net Other Financing Charges,-66500000.0
Interest Paid Cff,-181100000.0
Cash Dividends Paid,-20247300000.0
Common Stock Dividend Paid,-20247300000.0
Net Issuance Payments Of Debt,0.0
Net Short Term Debt Issuance,
Short Term Debt Issuance,
Net Long Term Debt Issuance,0.0
Long Term Debt Payments,0.0
Long Term Debt Issuance,0.0
Investing Cash Flow,-3917300000.0
Net Other Investing Changes,1287600000.0
Interest Received Cfi,1031400000.0
Net Investment Purchase And Sale,254800000.0
Sale Of Investment,254800000.0
Purchase Of Investment,0.0
Net Business Purchase And Sale,-1070700000.0
Sale Of Business,350600000.0
Purchase Of Business,-1421300000.0
Net PPE Purchase And Sale,-5407000000.0
Sale Of PPE,92200000.0
Purchase Of PPE,-5499200000.0
Operating Cash Flow,27374300000.0
Taxes Refund Paid,-8411500000.0
Change In Working Capital,-301900000.0
Change In Other Current Liabilities,1775600000.0
Change In Other Current Assets,
Change In Payable,1776300000.0
Change In Inventory,-3361200000.0
Change In Receivables,-570500000.0
Other Non Cash Items,-828900000.0
Depreciation And Amortization,4030100000.0
Depreciation,4030100000.0
Net Foreign Currency Exchange Gain Loss,55800000.0
Gain Loss On Sale Of PPE,-62600000.0
Gain Loss On Sale Of Business,
Net Income From Continuing Operations,32559700000.0
